,name,artista
0,The Adults Are Talking,The Strokes
1,rue,girl in red
2,Can I Call You Tonight?,Dayglow
3,Double Negative (Skeleton Milkshake),Dominic Fike
4,Where Is My Mind?,Pixies
5,In Love and Alone,Public Access T.V.
6,Spanish Bombs - Remastered,The Clash
7,Wasting Time,Calpurnia
8,Devil's Advocate,The Neighbourhood
9,Waiting For You,Hinds
10,"Hello, Goodbye - Remastered 2015",The Beatles
11,Time is Running Out,Muse
12,Tie Me Up,Belako
13,Heathers,Surf Curse
14,Bag It Up,Oasis
15,Bad Decisions,The Strokes
16,Sweater Weather,The Neighbourhood
17,"No me gustas, te quiero",The Parrots
18,Just Yesterday,Sun Room
19,Easy,Hinds
